Sample Name	COSMIC identifier	Whole Exome Sequencing (WES)	Copy Number Alterations (CNA)	Gene Expression	Methylation	Drug Response	GDSC Tissue descriptor 1	GDSC Tissue descriptor 2	Cancer Type (matching TCGA label)	Microsatellite instability Status (MSI)	Screen Medium	Growth Properties
NA	OVSAHO_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	U118MG_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	EFO21_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	CALU6_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH727_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	OC314_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SW1271_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	NCIH810_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	LUDLU1_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	JHOS4_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	GMS10_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	NCIH2286_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	IALM_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	JHH2_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	SNU182_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	DKMG_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	OE33_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	KYSE450_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	U87MG_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	SW403_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	HGC27_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	K029AX_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	QGP1_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	SNU1_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	HEC251_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	SW620_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	ES2_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	NCIH747_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	TE1_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	CAS1_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MPP89_PLEURA	NA	NA	NA	NA	NA	NA	NA	MESO	NA	NA	NA
NA	COLO205_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH522_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SF295_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	CAL851_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	COLO320_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	BFTC909_KIDNEY	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HS746T_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	OC316_OVARY	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MESSA_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC44_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HT144_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	HCC4006_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH1568_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SJSA1_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC1954_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	KYSE520_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	A549_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	786O_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	SNU475_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	WM793_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SW1990_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	MIAPACA2_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	RD_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC15_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	J82_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	UACC62_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	IGR39_SKIN	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SKNAS_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1651_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	UACC812_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	TE15_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	HCC1395_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	MFE296_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	OVCAR8_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	OVCAR4_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	HCT116_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	L33_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	NCIH1869_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	G402_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HT29_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	GB1_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	HS766T_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	KYSE510_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	NCIH2087_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	RERFLCMS_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH1184_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	PANC1005_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	UACC257_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	DMS114_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	IGR37_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	HS294T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	HS852T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	ACHN_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	SCABER_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	NCIH1355_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	DV90_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HOS_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	C2BBE1_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SW480_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	SUDHL10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	JHUEM2_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	TE5_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	MDAMB175VII_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	PC3_PROSTATE	NA	NA	NA	NA	NA	NA	NA	PRAD	NA	NA	NA
NA	KYSE410_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	SKMEL2_SKIN	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	OVTOKO_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	MKN7_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	COLO201_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	HS229T_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	KCIMOH1_PANCREAS	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	A253_SALIVARY_GLAND	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	U2OS_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KMRC2_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	RERFGC1B_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	NCIH1703_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	MDAMB436_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	HS695T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SKOV3_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	1321N1_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	JHH7_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	NCIH650_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	AU565_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SCC9_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	G361_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	TYKNU_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	NCIH211_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SW1573_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SKBR3_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	NCIH1915_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	G401_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	LOXIMVI_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SW1353_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KYSE140_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	8MGBA_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	OCUM1_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	MDAMB453_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	SKLU1_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HEC1A_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	NCIH2444_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	KP3_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	SKHEP1_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	HLE_LIVER	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KALS1_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	WM2664_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SNUC2A_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	FUOV1_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	JHH6_LIVER	NA	NA	NA	NA	NA	NA	NA	LIHC	NA	NA	NA
NA	KYM1_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	MKN74_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	PL45_PANCREAS	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC1806_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	TT2609C02_THYROID	NA	NA	NA	NA	NA	NA	NA	THCA	NA	NA	NA
NA	NCIH441_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	KURAMOCHI_OVARY	NA	NA	NA	NA	NA	NA	NA	OV	NA	NA	NA
NA	KMBC2_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	42MGBA_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	LCLC103H_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HCC78_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SAOS2_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	UMUC3_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	KNS60_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	MDAMB415_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	22RV1_PROSTATE	NA	NA	NA	NA	NA	NA	NA	PRAD	NA	NA	NA
NA	NCIH647_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SUDHL6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
NA	EN_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SKMEL24_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	MDAMB435S_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	NCIH1299_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	BT549_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	PANC0327_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	639V_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	MDAMB157_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	IMR32_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	TE11_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	GCT_SOFT_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SW1088_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	LGG	NA	NA	NA
NA	T24_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	DAOY_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	NCIH1573_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	KYSE180_OESOPHAGUS	NA	NA	NA	NA	NA	NA	NA	ESCA	NA	NA	NA
NA	NUGC3_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	EFM19_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	NCIH2170_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	ZR751_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	FADU_UPPER_AERODIGESTIVE_TRACT	NA	NA	NA	NA	NA	NA	NA	HNSC	NA	NA	NA
NA	MORCPR_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SKNBE2_AUTONOMIC_GANGLIA	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	SNU16_STOMACH	NA	NA	NA	NA	NA	NA	NA	STAD	NA	NA	NA
NA	NCIH2228_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH226_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	TCCSUP_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	IPC298_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	5637_URINARY_TRACT	NA	NA	NA	NA	NA	NA	NA	BLCA	NA	NA	NA
NA	VMRCRCW_KIDNEY	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	YKG1_CENTRAL_NERVOUS_SYSTEM	NA	NA	NA	NA	NA	NA	NA	GBM	NA	NA	NA
NA	SQ1_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	KMRC1_KIDNEY	NA	NA	NA	NA	NA	NA	NA	KIRC	NA	NA	NA
NA	NCIH2122_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	NCIH3255_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	HS939T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	SHP77_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	HUPT3_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	HS944T_SKIN	NA	NA	NA	NA	NA	NA	NA	SKCM	NA	NA	NA
NA	KMS26_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	RL952_ENDOMETRIUM	NA	NA	NA	NA	NA	NA	NA	UCEC	NA	NA	NA
NA	CCK81_LARGE_INTESTINE	NA	NA	NA	NA	NA	NA	NA	COADREAD	NA	NA	NA
NA	TC71_BONE	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	KP2_PANCREAS	NA	NA	NA	NA	NA	NA	NA	PAAD	NA	NA	NA
NA	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	LAML	NA	NA	NA
NA	HCC70_BREAST	NA	NA	NA	NA	NA	NA	NA	BRCA	NA	NA	NA
NA	NCIH1650_LUNG	NA	NA	NA	NA	NA	NA	NA	LUAD	NA	NA	NA
NA	SW900_LUNG	NA	NA	NA	NA	NA	NA	NA	LUSC	NA	NA	NA
NA	NCIH1155_LUNG	NA	NA	NA	NA	NA	NA	NA	UNABLE TO CLASSIFY	NA	NA	NA
NA	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	NA	NA	NA	NA	NA	DLBC	NA	NA	NA
